employee_id,leave_type,start_date,end_date,days,status
EMP0026,Casual Leave,2026-03-03,2026-03-08,5,Pending
EMP0026,Earned Leave,2026-01-24,2026-01-27,3,Rejected
EMP0026,Casual Leave,2025-10-18,2025-10-20,2,Approved
EMP0026,Casual Leave,2026-01-15,2026-01-18,3,Rejected
EMP0026,Casual Leave,2025-10-07,2025-10-11,4,Approved
EMP0026,Casual Leave,2025-11-12,2025-11-14,2,Approved
EMP0026,Sick Leave,2025-12-07,2025-12-10,3,Rejected
EMP0026,Earned Leave,2025-04-09,2025-04-14,5,Pending
EMP0027,Sick Leave,2025-07-10,2025-07-14,4,Rejected
EMP0027,Earned Leave,2025-11-26,2025-11-27,1,Pending
EMP0027,Earned Leave,2025-04-13,2025-04-16,3,Rejected
EMP0027,Casual Leave,2026-03-21,2026-03-26,5,Pending
EMP0027,Earned Leave,2025-06-02,2025-06-03,1,Rejected
EMP0027,Earned Leave,2026-01-26,2026-01-28,2,Pending
EMP0027,Earned Leave,2025-05-05,2025-05-07,2,Pending
EMP0027,Casual Leave,2025-07-21,2025-07-26,5,Rejected
EMP0028,Earned Leave,2025-07-21,2025-07-26,5,Rejected
EMP0028,Casual Leave,2025-04-29,2025-04-30,1,Approved
EMP0029,Earned Leave,2025-12-29,2026-01-03,5,Pending
EMP0029,Casual Leave,2025-07-12,2025-07-14,2,Approved
EMP0029,Sick Leave,2025-04-15,2025-04-18,3,Pending
EMP0029,Earned Leave,2025-08-20,2025-08-23,3,Approved
EMP0030,Earned Leave,2025-05-23,2025-05-24,1,Approved
EMP0030,Sick Leave,2025-07-07,2025-07-08,1,Approved
EMP0030,Sick Leave,2026-02-06,2026-02-11,5,Rejected
EMP0030,Casual Leave,2026-01-28,2026-01-31,3,Rejected
EMP0031,Sick Leave,2025-07-13,2025-07-18,5,Approved
EMP0031,Sick Leave,2025-04-12,2025-04-16,4,Approved
EMP0031,Casual Leave,2025-10-06,2025-10-10,4,Approved
EMP0031,Casual Leave,2026-01-05,2026-01-09,4,Approved
EMP0031,Earned Leave,2025-09-30,2025-10-02,2,Approved
EMP0031,Sick Leave,2026-03-21,2026-03-25,4,Rejected
EMP0031,Casual Leave,2025-11-25,2025-11-29,4,Approved
EMP0031,Sick Leave,2025-05-27,2025-05-30,3,Rejected
EMP0032,Casual Leave,2026-02-14,2026-02-18,4,Approved
EMP0032,Sick Leave,2026-02-13,2026-02-17,4,Approved
EMP0032,Earned Leave,2026-02-23,2026-02-25,2,Approved
EMP0032,Sick Leave,2025-05-09,2025-05-14,5,Pending
EMP0032,Earned Leave,2026-01-12,2026-01-14,2,Rejected
EMP0032,Casual Leave,2026-01-06,2026-01-10,4,Approved
EMP0032,Casual Leave,2025-09-19,2025-09-22,3,Pending
EMP0033,Earned Leave,2025-05-06,2025-05-08,2,Approved
EMP0033,Casual Leave,2026-01-27,2026-01-31,4,Pending
EMP0033,Sick Leave,2026-03-22,2026-03-25,3,Approved
EMP0033,Sick Leave,2025-06-12,2025-06-17,5,Pending
EMP0034,Sick Leave,2026-03-03,2026-03-06,3,Pending
EMP0034,Earned Leave,2025-08-26,2025-08-29,3,Approved
EMP0034,Sick Leave,2025-05-17,2025-05-20,3,Rejected
EMP0034,Casual Leave,2025-05-07,2025-05-10,3,Approved
EMP0034,Casual Leave,2025-11-22,2025-11-26,4,Pending
EMP0034,Earned Leave,2026-02-27,2026-03-01,2,Approved
EMP0034,Earned Leave,2026-03-09,2026-03-10,1,Rejected
EMP0035,Casual Leave,2025-11-15,2025-11-17,2,Rejected
EMP0035,Earned Leave,2025-06-22,2025-06-27,5,Approved
EMP0035,Sick Leave,2025-05-22,2025-05-25,3,Approved
EMP0035,Casual Leave,2025-09-23,2025-09-26,3,Approved
EMP0035,Sick Leave,2025-08-29,2025-08-31,2,Rejected
EMP0036,Casual Leave,2025-06-26,2025-06-30,4,Approved
EMP0036,Sick Leave,2025-11-15,2025-11-20,5,Rejected
EMP0036,Earned Leave,2025-10-14,2025-10-18,4,Approved
EMP0036,Earned Leave,2025-09-16,2025-09-21,5,Rejected
EMP0036,Casual Leave,2025-06-06,2025-06-10,4,Rejected
EMP0037,Casual Leave,2026-03-19,2026-03-21,2,Rejected
EMP0037,Earned Leave,2025-10-15,2025-10-16,1,Approved
EMP0037,Earned Leave,2025-11-07,2025-11-10,3,Approved
EMP0037,Sick Leave,2025-08-25,2025-08-26,1,Rejected
EMP0038,Earned Leave,2025-08-10,2025-08-14,4,Rejected
EMP0038,Earned Leave,2025-08-11,2025-08-12,1,Approved
EMP0039,Sick Leave,2026-02-17,2026-02-20,3,Pending
EMP0039,Earned Leave,2025-11-20,2025-11-25,5,Rejected
EMP0039,Sick Leave,2026-01-25,2026-01-28,3,Rejected
EMP0040,Earned Leave,2025-05-01,2025-05-04,3,Pending
EMP0040,Earned Leave,2026-02-08,2026-02-12,4,Pending
EMP0040,Earned Leave,2025-10-25,2025-10-27,2,Pending
EMP0040,Sick Leave,2025-09-24,2025-09-29,5,Rejected
EMP0040,Earned Leave,2025-07-21,2025-07-24,3,Approved
EMP0041,Casual Leave,2026-02-28,2026-03-03,3,Pending
EMP0041,Casual Leave,2025-08-29,2025-08-30,1,Rejected
EMP0041,Casual Leave,2025-07-21,2025-07-25,4,Approved
EMP0041,Casual Leave,2026-01-01,2026-01-03,2,Pending
EMP0041,Casual Leave,2025-10-08,2025-10-12,4,Approved
EMP0041,Sick Leave,2025-11-17,2025-11-21,4,Approved
EMP0042,Earned Leave,2025-08-25,2025-08-26,1,Pending
EMP0042,Casual Leave,2026-03-12,2026-03-17,5,Approved
EMP0043,Sick Leave,2026-01-18,2026-01-19,1,Pending
EMP0043,Casual Leave,2025-09-18,2025-09-23,5,Approved
EMP0043,Casual Leave,2025-09-01,2025-09-02,1,Approved
EMP0043,Sick Leave,2026-01-13,2026-01-15,2,Pending
EMP0043,Sick Leave,2025-06-16,2025-06-17,1,Approved
EMP0043,Earned Leave,2025-10-01,2025-10-06,5,Rejected
EMP0044,Casual Leave,2025-07-25,2025-07-28,3,Pending
EMP0044,Casual Leave,2025-05-04,2025-05-09,5,Pending
EMP0044,Sick Leave,2025-07-24,2025-07-27,3,Approved
EMP0044,Earned Leave,2025-07-06,2025-07-09,3,Pending
EMP0044,Sick Leave,2025-12-20,2025-12-23,3,Rejected
EMP0044,Earned Leave,2025-05-22,2025-05-24,2,Rejected
EMP0044,Sick Leave,2025-09-25,2025-09-26,1,Pending
EMP0044,Earned Leave,2025-04-23,2025-04-26,3,Approved
EMP0045,Casual Leave,2025-04-21,2025-04-26,5,Approved
EMP0045,Earned Leave,2025-07-06,2025-07-10,4,Approved
EMP0045,Casual Leave,2025-05-08,2025-05-12,4,Approved
EMP0045,Casual Leave,2026-03-03,2026-03-05,2,Rejected
EMP0045,Sick Leave,2026-03-04,2026-03-05,1,Rejected
EMP0046,Casual Leave,2025-08-04,2025-08-08,4,Pending
EMP0046,Sick Leave,2026-03-10,2026-03-11,1,Approved
EMP0046,Casual Leave,2026-01-07,2026-01-11,4,Rejected
EMP0046,Earned Leave,2025-10-02,2025-10-03,1,Rejected
EMP0046,Earned Leave,2026-02-17,2026-02-21,4,Pending
EMP0046,Sick Leave,2025-10-21,2025-10-25,4,Approved
EMP0047,Casual Leave,2025-05-19,2025-05-23,4,Pending
EMP0047,Earned Leave,2026-03-04,2026-03-06,2,Rejected
EMP0047,Casual Leave,2025-10-03,2025-10-04,1,Approved
EMP0047,Sick Leave,2026-01-19,2026-01-21,2,Pending
EMP0047,Sick Leave,2025-07-07,2025-07-10,3,Rejected
EMP0047,Casual Leave,2025-12-13,2025-12-15,2,Rejected
EMP0048,Sick Leave,2025-07-02,2025-07-07,5,Pending
EMP0048,Sick Leave,2025-05-25,2025-05-28,3,Approved
EMP0048,Sick Leave,2026-03-14,2026-03-15,1,Approved
EMP0048,Earned Leave,2025-11-18,2025-11-23,5,Rejected
EMP0048,Sick Leave,2025-06-11,2025-06-15,4,Pending
EMP0048,Casual Leave,2025-10-18,2025-10-20,2,Pending
EMP0049,Sick Leave,2025-09-16,2025-09-17,1,Rejected
EMP0049,Sick Leave,2025-05-07,2025-05-12,5,Approved
EMP0049,Casual Leave,2026-03-20,2026-03-21,1,Pending
EMP0050,Earned Leave,2026-02-09,2026-02-11,2,Pending
EMP0050,Sick Leave,2025-09-23,2025-09-28,5,Pending
EMP0050,Casual Leave,2025-05-07,2025-05-11,4,Pending
EMP0050,Sick Leave,2026-03-10,2026-03-14,4,Approved
EMP0050,Sick Leave,2025-07-26,2025-07-27,1,Approved
EMP0050,Casual Leave,2025-10-04,2025-10-07,3,Rejected
EMP0051,Earned Leave,2026-02-10,2026-02-11,1,Approved
EMP0051,Casual Leave,2026-03-24,2026-03-28,4,Rejected
EMP0052,Earned Leave,2025-05-15,2025-05-20,5,Pending
EMP0052,Sick Leave,2025-06-08,2025-06-10,2,Rejected
EMP0052,Sick Leave,2026-01-23,2026-01-24,1,Approved
EMP0052,Sick Leave,2025-04-24,2025-04-27,3,Pending
EMP0052,Earned Leave,2025-10-03,2025-10-08,5,Rejected
EMP0052,Sick Leave,2025-06-05,2025-06-08,3,Approved
EMP0052,Casual Leave,2025-10-15,2025-10-17,2,Pending
EMP0052,Earned Leave,2025-04-15,2025-04-20,5,Pending
EMP0053,Earned Leave,2025-12-03,2025-12-05,2,Pending
EMP0053,Casual Leave,2025-12-23,2025-12-24,1,Pending
EMP0053,Sick Leave,2025-12-24,2025-12-27,3,Rejected
EMP0053,Sick Leave,2025-04-02,2025-04-04,2,Rejected
EMP0053,Casual Leave,2026-02-16,2026-02-19,3,Rejected
EMP0053,Sick Leave,2026-02-24,2026-03-01,5,Rejected
EMP0053,Sick Leave,2025-06-09,2025-06-10,1,Pending
EMP0053,Casual Leave,2026-01-27,2026-01-28,1,Pending
EMP0054,Sick Leave,2026-02-08,2026-02-10,2,Rejected
EMP0054,Sick Leave,2025-08-27,2025-08-31,4,Rejected
EMP0055,Earned Leave,2025-09-20,2025-09-23,3,Pending
EMP0055,Earned Leave,2025-12-01,2025-12-03,2,Pending
EMP0055,Sick Leave,2025-07-14,2025-07-16,2,Pending
EMP0056,Earned Leave,2025-09-03,2025-09-05,2,Approved
EMP0056,Sick Leave,2026-03-12,2026-03-16,4,Approved
EMP0056,Sick Leave,2025-05-15,2025-05-18,3,Pending
EMP0057,Sick Leave,2025-09-20,2025-09-22,2,Rejected
EMP0057,Earned Leave,2025-09-10,2025-09-15,5,Approved
EMP0057,Earned Leave,2025-03-31,2025-04-01,1,Pending
EMP0057,Earned Leave,2025-06-22,2025-06-25,3,Approved
EMP0057,Sick Leave,2026-01-07,2026-01-11,4,Pending
EMP0057,Earned Leave,2025-09-17,2025-09-21,4,Approved
EMP0058,Casual Leave,2025-11-24,2025-11-25,1,Approved
EMP0058,Sick Leave,2025-10-05,2025-10-09,4,Rejected
EMP0059,Sick Leave,2026-01-07,2026-01-12,5,Rejected
EMP0059,Earned Leave,2025-11-08,2025-11-11,3,Rejected
EMP0059,Sick Leave,2026-03-13,2026-03-14,1,Pending
EMP0059,Casual Leave,2025-08-01,2025-08-02,1,Pending
EMP0060,Casual Leave,2025-09-30,2025-10-04,4,Rejected
EMP0060,Sick Leave,2026-01-09,2026-01-12,3,Approved
EMP0060,Sick Leave,2025-10-01,2025-10-05,4,Rejected
EMP0060,Earned Leave,2026-02-17,2026-02-18,1,Approved
EMP0060,Earned Leave,2025-10-15,2025-10-18,3,Pending
EMP0060,Sick Leave,2025-10-25,2025-10-30,5,Rejected
EMP0060,Casual Leave,2025-04-16,2025-04-17,1,Rejected
EMP0061,Sick Leave,2025-12-26,2025-12-31,5,Pending
EMP0061,Casual Leave,2025-04-23,2025-04-25,2,Approved
EMP0061,Earned Leave,2025-07-14,2025-07-16,2,Pending
EMP0061,Earned Leave,2025-05-06,2025-05-07,1,Approved
EMP0061,Casual Leave,2025-10-17,2025-10-22,5,Pending
EMP0061,Sick Leave,2025-11-15,2025-11-20,5,Pending
EMP0062,Sick Leave,2025-12-31,2026-01-03,3,Approved
EMP0062,Earned Leave,2026-02-12,2026-02-16,4,Approved
EMP0062,Casual Leave,2025-08-07,2025-08-10,3,Rejected
EMP0062,Sick Leave,2025-07-02,2025-07-07,5,Approved
EMP0062,Earned Leave,2025-08-05,2025-08-08,3,Rejected
EMP0062,Sick Leave,2026-01-01,2026-01-03,2,Pending
EMP0062,Earned Leave,2025-08-18,2025-08-19,1,Approved
EMP0063,Earned Leave,2025-12-23,2025-12-28,5,Rejected
EMP0063,Earned Leave,2026-02-11,2026-02-12,1,Pending
EMP0063,Casual Leave,2026-03-19,2026-03-20,1,Rejected
EMP0063,Casual Leave,2025-07-31,2025-08-01,1,Rejected
EMP0064,Casual Leave,2025-06-09,2025-06-11,2,Approved
EMP0064,Sick Leave,2026-01-23,2026-01-25,2,Approved
EMP0064,Casual Leave,2025-04-19,2025-04-23,4,Pending
EMP0064,Casual Leave,2025-08-25,2025-08-29,4,Rejected
EMP0064,Sick Leave,2025-07-28,2025-08-02,5,Approved
EMP0065,Earned Leave,2026-02-26,2026-03-03,5,Rejected
EMP0065,Sick Leave,2025-06-16,2025-06-21,5,Approved
EMP0065,Sick Leave,2026-01-12,2026-01-13,1,Approved
EMP0065,Sick Leave,2025-05-04,2025-05-06,2,Pending
EMP0065,Earned Leave,2026-03-01,2026-03-02,1,Approved
EMP0066,Sick Leave,2026-01-21,2026-01-22,1,Rejected
EMP0066,Sick Leave,2025-09-02,2025-09-06,4,Rejected
EMP0066,Sick Leave,2025-09-28,2025-10-02,4,Pending
EMP0066,Casual Leave,2026-01-05,2026-01-09,4,Pending
EMP0067,Earned Leave,2025-08-30,2025-09-03,4,Approved
EMP0067,Casual Leave,2026-03-04,2026-03-07,3,Rejected
EMP0067,Casual Leave,2025-04-04,2025-04-05,1,Approved
EMP0067,Earned Leave,2025-11-16,2025-11-21,5,Pending
EMP0067,Sick Leave,2025-04-18,2025-04-23,5,Pending
EMP0068,Earned Leave,2025-04-01,2025-04-05,4,Approved
EMP0068,Earned Leave,2026-03-07,2026-03-10,3,Pending
EMP0068,Earned Leave,2025-04-23,2025-04-24,1,Approved
EMP0069,Casual Leave,2025-12-19,2025-12-21,2,Approved
EMP0069,Sick Leave,2025-04-28,2025-05-02,4,Rejected
EMP0069,Sick Leave,2025-12-04,2025-12-09,5,Pending
EMP0069,Sick Leave,2025-12-17,2025-12-18,1,Rejected
EMP0069,Sick Leave,2026-03-23,2026-03-27,4,Pending
EMP0069,Sick Leave,2026-02-20,2026-02-25,5,Approved
EMP0069,Sick Leave,2025-11-21,2025-11-23,2,Rejected
EMP0070,Sick Leave,2025-11-07,2025-11-09,2,Rejected
EMP0070,Sick Leave,2025-03-28,2025-03-30,2,Pending
EMP0070,Sick Leave,2025-05-23,2025-05-24,1,Pending
EMP0070,Earned Leave,2025-09-07,2025-09-11,4,Rejected
EMP0070,Casual Leave,2025-05-23,2025-05-25,2,Rejected
EMP0071,Earned Leave,2025-07-06,2025-07-09,3,Rejected
EMP0071,Sick Leave,2025-09-23,2025-09-26,3,Pending
EMP0071,Casual Leave,2025-10-19,2025-10-23,4,Approved
EMP0071,Casual Leave,2025-11-28,2025-11-29,1,Approved
EMP0072,Sick Leave,2025-06-22,2025-06-24,2,Approved
EMP0072,Sick Leave,2025-11-04,2025-11-07,3,Rejected
EMP0072,Earned Leave,2025-08-30,2025-09-03,4,Rejected
EMP0072,Casual Leave,2026-01-24,2026-01-27,3,Pending
EMP0072,Earned Leave,2025-08-05,2025-08-08,3,Rejected
EMP0073,Sick Leave,2025-08-21,2025-08-24,3,Approved
EMP0073,Casual Leave,2025-11-07,2025-11-08,1,Pending
EMP0073,Earned Leave,2026-02-18,2026-02-22,4,Rejected
EMP0073,Sick Leave,2025-05-15,2025-05-18,3,Pending
EMP0073,Earned Leave,2025-05-29,2025-06-02,4,Rejected
EMP0073,Casual Leave,2025-08-11,2025-08-14,3,Approved
EMP0074,Sick Leave,2025-06-16,2025-06-17,1,Pending
EMP0074,Earned Leave,2025-12-22,2025-12-25,3,Rejected
EMP0074,Earned Leave,2025-04-17,2025-04-22,5,Approved
EMP0074,Casual Leave,2025-12-08,2025-12-12,4,Rejected
EMP0075,Earned Leave,2025-05-12,2025-05-17,5,Rejected
EMP0075,Earned Leave,2025-12-15,2025-12-16,1,Pending
EMP0075,Earned Leave,2025-06-10,2025-06-12,2,Pending
EMP0075,Casual Leave,2025-09-15,2025-09-19,4,Pending
EMP0075,Sick Leave,2025-05-09,2025-05-13,4,Rejected
EMP0076,Earned Leave,2025-11-12,2025-11-13,1,Approved
EMP0076,Casual Leave,2025-05-27,2025-05-29,2,Pending
EMP0076,Sick Leave,2025-12-09,2025-12-14,5,Approved
EMP0077,Sick Leave,2025-08-23,2025-08-28,5,Rejected
EMP0077,Casual Leave,2025-12-17,2025-12-20,3,Approved
EMP0077,Sick Leave,2025-05-30,2025-06-02,3,Pending
EMP0077,Sick Leave,2025-12-02,2025-12-05,3,Rejected
EMP0078,Sick Leave,2025-07-27,2025-07-29,2,Rejected
EMP0078,Sick Leave,2025-11-14,2025-11-18,4,Approved
EMP0079,Sick Leave,2025-06-14,2025-06-15,1,Rejected
EMP0079,Earned Leave,2025-09-11,2025-09-12,1,Approved
EMP0079,Sick Leave,2025-08-04,2025-08-05,1,Approved
EMP0079,Sick Leave,2025-08-06,2025-08-08,2,Pending
EMP0079,Earned Leave,2025-05-20,2025-05-24,4,Rejected
EMP0079,Earned Leave,2025-09-18,2025-09-22,4,Rejected
EMP0079,Earned Leave,2026-01-20,2026-01-21,1,Pending
EMP0079,Casual Leave,2026-01-29,2026-02-01,3,Pending
EMP0080,Sick Leave,2025-12-27,2025-12-31,4,Rejected
EMP0080,Casual Leave,2025-06-14,2025-06-17,3,Pending
EMP0080,Casual Leave,2025-06-20,2025-06-22,2,Approved
EMP0080,Sick Leave,2025-12-05,2025-12-07,2,Pending
EMP0080,Casual Leave,2025-09-10,2025-09-15,5,Rejected
EMP0080,Earned Leave,2025-06-01,2025-06-05,4,Pending
EMP0080,Earned Leave,2026-03-13,2026-03-14,1,Approved
EMP0081,Earned Leave,2025-10-03,2025-10-05,2,Pending
EMP0081,Casual Leave,2025-12-03,2025-12-04,1,Approved
EMP0081,Casual Leave,2025-10-01,2025-10-06,5,Rejected
EMP0081,Earned Leave,2026-03-07,2026-03-11,4,Rejected
EMP0081,Casual Leave,2025-09-16,2025-09-20,4,Rejected
EMP0081,Sick Leave,2025-06-14,2025-06-19,5,Approved
EMP0082,Earned Leave,2025-10-26,2025-10-28,2,Pending
EMP0082,Casual Leave,2025-05-30,2025-06-04,5,Approved
EMP0083,Earned Leave,2025-12-26,2025-12-27,1,Rejected
EMP0083,Casual Leave,2026-02-28,2026-03-03,3,Rejected
EMP0083,Earned Leave,2025-04-09,2025-04-13,4,Approved
EMP0083,Earned Leave,2025-11-09,2025-11-13,4,Pending
EMP0083,Casual Leave,2025-06-30,2025-07-05,5,Rejected
EMP0083,Casual Leave,2025-12-01,2025-12-04,3,Pending
EMP0083,Earned Leave,2026-01-03,2026-01-06,3,Approved
EMP0084,Sick Leave,2025-04-02,2025-04-03,1,Rejected
EMP0084,Sick Leave,2025-12-22,2025-12-23,1,Approved
EMP0084,Sick Leave,2025-10-10,2025-10-11,1,Rejected
EMP0085,Sick Leave,2025-11-24,2025-11-27,3,Rejected
EMP0085,Casual Leave,2025-10-12,2025-10-17,5,Rejected
EMP0085,Earned Leave,2025-06-15,2025-06-17,2,Approved
EMP0085,Sick Leave,2025-04-29,2025-05-02,3,Approved
EMP0085,Casual Leave,2026-01-21,2026-01-24,3,Pending
EMP0085,Sick Leave,2025-12-03,2025-12-06,3,Rejected
